split,system,seed,video,n_frames,accuracy,macro_f1,f1_anesthesia,f1_closure,f1_design,f1_disinfection,f1_dissection,f1_dressing,f1_hemostasis,f1_incision,f1_irrigation,n_gt_anesthesia,n_gt_closure,n_gt_design,n_gt_disinfection,n_gt_dissection,n_gt_dressing,n_gt_hemostasis,n_gt_incision,n_gt_irrigation
test,bboxROI,123,07,1711,0.9444769140853302,0.8762001350918732,0.9215686274509803,0.9710725411659992,0.9166666666666666,0.0,0.8663446054750402,0.0,0.9836065573770492,0.9635036496350364,0.5106382978723404,47,1104,13,0,320,0,122,70,35
test,bboxROI,456,04,1329,0.8186606471030851,0.7299970341679907,1.0,0.9204959883296864,0.0,0.0,0.7370737073707371,0.0,0.0,0.988235294117647,0.7341772151898733,51,631,0,0,510,0,46,42,49
test,bboxROI,456,05,1225,0.8881632653061224,0.8029307257001259,1.0,0.9221556886227544,1.0,0.0,0.9174311926605504,0.0,0.8201438848920864,0.9607843137254902,0.0,22,709,17,0,272,83,71,51,0
test,bboxROI,456,07,1711,0.9403857393337229,0.8950835918049053,0.9894736842105264,0.9690539345711758,0.9600000000000001,0.0,0.8372093023255814,0.0,0.9603174603174605,0.9781021897810218,0.5714285714285715,47,1104,13,0,320,0,122,70,35
test,maskROI,42,04,1329,0.8577878103837472,0.7110868166485943,1.0,0.9389880952380952,0.0,0.0,0.8081218274111674,0.0,0.0,0.963855421686747,0.5555555555555556,51,631,0,0,510,0,46,42,49
test,maskROI,42,05,1225,0.8963265306122449,0.8088568306751244,1.0,0.9276708692767087,1.0,0.0,0.9338235294117647,0.0,0.8296296296296297,0.970873786407767,0.0,22,709,17,0,272,83,71,51,0
test,maskROI,42,07,1711,0.9275277615429574,0.8469280808550097,0.8674698795180723,0.9617633828160144,0.8387096774193548,0.0,0.8375,0.0,0.9674796747967479,0.9139072847682119,0.5416666666666666,47,1104,13,0,320,0,122,70,35
test,maskROI,123,04,1329,0.8577878103837472,0.6891024213836116,1.0,0.9368968077208611,0.0,0.0,0.8097165991902834,0.0,0.0,0.951219512195122,0.43678160919540227,51,631,0,0,510,0,46,42,49
test,maskROI,123,05,1225,0.8865306122448979,0.8009004429677916,1.0,0.9201065246338217,1.0,0.0,0.9183303085299456,0.0,0.7969924812030075,0.970873786407767,0.0,22,709,17,0,272,83,71,51,0
test,maskROI,123,07,1711,0.9216832261835184,0.8668254784358688,0.8705882352941177,0.9567543468568882,1.0,0.0,0.8108108108108107,0.0,0.9752066115702478,0.912751677852349,0.5416666666666666,47,1104,13,0,320,0,122,70,35
test,maskROI,456,04,1329,0.8690744920993227,0.7089837785796472,1.0,0.9517345399698341,0.0,0.0,0.8286852589641435,0.0,0.0,0.9382716049382716,0.5352112676056339,51,631,0,0,510,0,46,42,49
test,maskROI,456,05,1225,0.8881632653061224,0.8068726604231556,1.0,0.9199731002017486,1.0,0.0,0.9151943462897526,0.0,0.8529411764705882,0.96,0.0,22,709,17,0,272,83,71,51,0
test,maskROI,456,07,1711,0.9111630625365283,0.7753316957410411,0.9090909090909092,0.9535632183908046,0.7647058823529412,0.0,0.8090523338048091,0.0,0.9749999999999999,0.9078014184397163,0.1081081081081081,47,1104,13,0,320,0,122,70,35
test,randROI,42,04,1329,0.744920993227991,0.6141596034431944,1.0,0.8368700265251989,0.0,0.0,0.6064209274673008,0.0,0.0,0.8750000000000001,0.36666666666666664,51,631,0,0,510,0,46,42,49
test,randROI,42,05,1225,0.8914285714285715,0.802901598150467,1.0,0.925706771860618,1.0,0.0,0.9242424242424244,0.0,0.8088235294117647,0.9615384615384616,0.0,22,709,17,0,272,83,71,51,0
test,randROI,42,07,1711,0.9000584453535944,0.7956820254652044,0.8571428571428571,0.9474590869939707,0.9600000000000001,0.0,0.7207207207207208,0.0,0.9714285714285714,0.9078947368421053,0.20512820512820512,47,1104,13,0,320,0,122,70,35
