contrast,split,metric,is_prereg_phase,diff,mean_a,mean_b,sd_A,sd_B,SE,df,t,p,CI_low,CI_high,welch_exceeds,n_videos,n_videos_same_sign,all_videos_same_sign,p_sign_under_null,bootstrap_CI_low,bootstrap_CI_high,bootstrap_crosses_zero
3-2,test,hemostasis,True,0.01694861893013011,0.7837804924983299,0.7668318735681998,0.01507932856081393,0.06010162961051424,0.035775187079335774,2.250803711109662,0.4737534675233008,0.6777035166558182,-0.12165677907318284,0.15555401693344306,False,3,2,False,0.25,0.0,0.023910313992234533,True
3-2,test,incision,True,-0.030814040478886695,0.9384723190513752,0.9692863595302619,0.006139650772188497,0.00594843308194468,0.004935556967381652,3.996002305445508,-6.243275213422116,0.0033658414952146155,-0.044522751754723436,-0.017105329203049954,True,3,3,True,0.25,-0.057228155149326554,-0.0034342280601561415,False
3-2,test,irrigation,False,-0.07279049883216537,0.47098765432098766,0.543778153153153,0.08059988846787185,0.11277182930993089,0.08002880212136455,3.6204450824788643,-0.9095537719254848,0.4194996232088772,-0.3044813617243918,0.15890036406006106,False,3,2,False,0.25,-0.0999054456501266,0.0,True
4-2,test,phase_accuracy,False,-0.010003907776475196,0.8825322391559203,0.8925361469323955,0.0297356883704341,0.004401065486612282,0.017354927641076656,2.0875812837328223,-0.5764303939128713,0.6203972972104804,-0.08175293609846562,0.06174512054551523,False,3,3,True,0.25,-0.01831287745957544,-0.00027210884353745524,False
4-2,test,phase_macro_f1,False,-0.028318843400651272,0.7232409867935646,0.7515598301942159,0.021115949045603898,0.008856535995462286,0.01322020592294814,2.682543582943166,-2.142087919485001,0.1322279758782136,-0.0733533087372516,0.01671562193594906,False,3,3,True,0.25,-0.05960427878049723,-0.0007633069315715613,False
4-2,test,anesthesia,False,-0.021965305597494322,0.9553396683831465,0.9773049739806409,0.009350853428265698,0.02519760601205602,0.015517278633571783,2.540610382214285,-1.4155385178153708,0.2670886908164358,-0.07680497745993192,0.032874366264943285,False,3,1,False,0.25,-0.0806540818724979,0.015576323987538943,True
4-2,test,closure,True,-0.006222337189290994,0.9369449541103965,0.9431672912996875,0.023362789442731152,0.0012668581651043484,0.013508329037497343,2.011761503343063,-0.46062967314599795,0.6900663795764937,-0.06401956918542577,0.05157489480684378,False,3,2,False,0.25,-0.01093371521836406,0.0005027059467671569,True
4-2,test,design,False,-0.014988797973894408,0.9678672316384181,0.9828560296123126,0.02629879404147656,0.01724220478992828,0.018155992528215294,3.45124398919695,-0.8255565180807983,0.4622733685669825,-0.06872187788153505,0.03874428193374624,False,3,1,False,0.25,-0.029999999999999916,0.0,True
4-2,test,disinfection,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,3,0,False,0.25,0.0,0.0,True
4-2,test,dissection,False,-0.020626559271816003,0.8086274011376551,0.8292539604094711,0.07322505854577063,0.013190974733142192,0.042956997929875305,2.1296693098104322,-0.4801676156580497,0.6759342585568721,-0.19507928347401754,0.15382616493038553,False,3,3,True,0.25,-0.04265785671037414,-0.00206236417418193,False
4-2,test,dressing,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,3,0,False,0.25,0.0,0.0,True
4-2,test,hemostasis,True,0.0208745797574581,0.7877064533256579,0.7668318735681998,0.048397575128498876,0.06010162961051424,0.04455158493311671,3.825989900949402,0.46854853287029335,0.6648347418768012,-0.10507105168175812,0.14682021119667432,False,3,2,False,0.25,-0.001632905285600228,0.03850364007788987,True
4-2,test,incision,True,-0.038211478538185184,0.9310748809920767,0.9692863595302619,0.014368347769846673,0.00594843308194468,0.008978367961673802,2.6660053641268364,-4.255949266202893,0.030002251592384867,-0.06892044172204684,-0.007502515354323537,True,3,3,True,0.25,-0.06206847592724729,-0.0029214075473356083,False
4-2,test,irrigation,False,-0.14541084839198637,0.39836730476116666,0.543778153153153,0.12443258376312889,0.11277182930993089,0.09695523604199394,3.961886982793184,-1.4997730326705099,0.20872347258743945,-0.41562610517865733,0.1248044083946846,False,3,2,False,0.25,-0.19353440555815626,0.0,True
3-1,test,phase_accuracy,False,0.061508401719421846,0.8933177022274327,0.8318093005080108,0.0030480656506447833,0.007934999700818755,0.004907644528781411,2.5776443870980628,12.533181928458589,0.002226293349842001,0.044337625978885825,0.07867917745995787,True,3,3,True,0.25,0.010612244897959089,0.13042387760220708,False
3-1,test,phase_macro_f1,False,0.03986175999517938,0.7339465667327443,0.6940848067375649,0.014943698644097581,0.02202879270575434,0.015368602595754538,3.5190557005082552,2.5937140183578498,0.06872793169302002,-0.005209608588883009,0.08493312857924176,False,3,3,True,0.25,0.011962837434533302,0.08737659457410085,False
3-1,test,anesthesia,False,-0.022194067332244383,0.9567193278983672,0.9789133952306116,0.007877200558881409,0.012816924327374508,0.008685693943845938,3.322247868472025,-2.5552439995850316,0.07551104205063601,-0.048379229723015574,0.003991095058526812,False,3,2,False,0.25,-0.08438221970823168,0.014814814814814725,True
3-1,test,closure,True,0.03897299704905888,0.9431198926046475,0.9041468955555886,0.0024573703369277743,0.002105615022656745,0.0018683578883117555,3.908193639743213,20.85949233434864,3.739664959176407e-05,0.03373719124947811,0.04420880284863964,True,3,3,True,0.25,0.0022157794010669862,0.08998889650197461,False
3-1,test,design,False,-0.02432434651928639,0.9351432880844645,0.9594676346037508,0.05974450172047772,0.010478226301082128,0.03501998816031046,2.1229218079542402,-0.6945846585651942,0.5555026676311533,-0.16694364104845621,0.11829494800988344,False,3,1,False,0.25,-0.0331609969841139,0.0,True
3-1,test,disinfection,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,3,0,False,0.25,0.0,0.0,True
3-1,test,dissection,False,0.16204211361243048,0.8433495594037831,0.6813074457913526,0.005378098801227782,0.017585836961636757,0.01061736954801011,2.370859296343542,15.261983006214582,0.0020140691690166343,0.12256793091041332,0.20151629631444765,True,3,3,True,0.25,0.022795371823332466,0.23057919901412494,False
3-1,test,dressing,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,3,0,False,0.25,0.0,0.0,True
3-1,test,hemostasis,True,0.08063569311197871,0.7837804924983299,0.7031447993863512,0.01507932856081393,0.025553510643076177,0.01713055803752256,3.2422689792150776,4.707125882026452,0.015216727240168358,0.028352238767761474,0.13291914745619596,True,3,2,False,0.25,0.0,0.10920433300657345,True
