rule,split,metric,system,k_seeds,n_reps,var_within_seed,var_between_seed,var_between_seed_raw,clipped_to_zero,ICC,sd_within,sd_between,within_exceeds_between
R-mf1,val,phase_macro_f1,handROIbbox2,3,3,2.3827488599668127e-06,1.0529675728996306e-05,1.0529675728996306e-05,False,0.8154685168884963,0.0015436155155889087,0.003244946182758091,False
R-mf1,val,phase_macro_f1,handROImask2,3,3,2.3581546131318215e-07,8.016055530782357e-06,8.016055530782357e-06,False,0.9714227886573761,0.00048560834147817327,0.0028312639457991826,False
R-mf1,val,phase_macro_f1,bboxROI_handROIbbox2,3,3,9.199698302896226e-07,2.4278473947878474e-06,2.4278473947878474e-06,False,0.7252030895240005,0.0009591505774849029,0.0015581551253927984,False
R-mf1,test,phase_accuracy,base,3,3,3.753542233687468e-05,6.857162752705514e-05,6.857162752705514e-05,False,0.6462494962869142,0.006126615895979988,0.008280798725186788,False
R-mf1,test,phase_accuracy,bboxROI,3,3,7.519301040959007e-06,4.924500811715076e-05,4.924500811715076e-05,False,0.8675347035403012,0.002742134395130736,0.0070174787578695785,False
R-mf1,test,phase_accuracy,maskROI,3,3,6.126611652381608e-06,4.495699078916165e-06,4.495699078916165e-06,False,0.42323174238068123,0.0024751993156878513,0.00212030636440024,True
R-mf1,test,phase_accuracy,randROI,3,3,0.00015526654196599139,8.656256822510948e-05,8.656256822510948e-05,False,0.35794933106566473,0.012460599582925029,0.009303900699443727,True
R-mf1,test,phase_accuracy,shuffleROI,3,3,7.7618000266016e-05,5.66869375254103e-05,5.66869375254103e-05,False,0.4220763469876612,0.008810107846446376,0.007529072819770725,True
R-mf1,test,phase_accuracy,handROIbbox2,3,3,2.4976784692511204e-05,1.4008337709666796e-05,1.4008337709666796e-05,False,0.35932522066120753,0.0049976779300502355,0.003742771394256774,True
R-mf1,test,phase_accuracy,handROImask2,3,3,1.7927821734536552e-05,1.66023235006724e-05,1.66023235006724e-05,False,0.48080665133559014,0.004234125852467845,0.004074594887921056,True
R-mf1,test,phase_accuracy,bboxROI_handROIbbox2,3,3,1.5606672753574524e-05,3.4752079655316836e-05,3.4752079655316836e-05,False,0.6900901629401962,0.003950528161344319,0.005895089452698478,False
R-mf1,test,phase_macro_f1,base,3,3,2.5811738202080976e-05,0.0020935791083620437,0.0020935791083620437,False,0.9878211523636965,0.0050805253864222525,0.04575564564468568,False
R-mf1,test,phase_macro_f1,bboxROI,3,3,4.810542518318927e-05,1.754319901316013e-05,1.754319901316013e-05,False,0.2672287382701262,0.006935807464397297,0.004188460219837372,True
R-mf1,test,phase_macro_f1,maskROI,3,3,2.214990251404229e-05,0.0,-6.78954413977585e-06,True,0.0,0.004706368293497895,0.0,True
R-mf1,test,phase_macro_f1,randROI,3,3,0.00018404042892164986,2.162583306772115e-05,2.162583306772115e-05,False,0.10515012456850502,0.013566150114223631,0.004650358380568228,True
R-mf1,test,phase_macro_f1,shuffleROI,3,3,0.00013014580551808905,4.81692774472477e-05,4.81692774472477e-05,False,0.2701357431250585,0.011408146454095382,0.006940409025932672,True
R-mf1,test,phase_macro_f1,handROIbbox2,3,3,1.4387704593555665e-05,0.00010743655374386369,0.00010743655374386369,False,0.8818978683727692,0.0037931127841860524,0.01036516057491941,False
R-mf1,test,phase_macro_f1,handROImask2,3,3,0.00010949257981872385,0.0001465710269809672,0.0001465710269809672,False,0.5724008531037532,0.010463870212245747,0.012106652178904257,False
R-mf1,test,phase_macro_f1,bboxROI_handROIbbox2,3,3,0.00013437499903882217,0.00010409314217831164,0.00010409314217831164,False,0.4365075420432413,0.01159202307791104,0.010202604676175179,True
R-topk,val,phase_accuracy,base,3,3,8.229645846872823e-07,3.227312096818248e-08,3.227312096818248e-08,False,0.037735849056664265,0.0009071739550313833,0.00017964721252550087,True
R-topk,val,phase_accuracy,bboxROI,3,3,7.745549032350941e-07,1.5007001250179751e-06,1.5007001250179751e-06,False,0.6595744680851034,0.0008800880088008779,0.0012250306628888827,False
R-topk,val,phase_accuracy,maskROI,3,3,1.1618323548526408e-06,9.197839475916831e-07,9.197839475916831e-07,False,0.44186046511628146,0.0010778832751521107,0.000959053672946245,True
R-topk,val,phase_accuracy,randROI,3,3,6.293258588785291e-07,3.969593879079961e-06,3.969593879079961e-06,False,0.8631578947368425,0.0007933006106631515,0.0019923839687871316,False
R-topk,val,phase_accuracy,shuffleROI,3,3,1.6943388508267932e-06,6.454624193621582e-08,6.454624193621582e-08,False,0.036697247706398484,0.0013016677190538272,0.0002540595243957916,True
R-topk,val,phase_accuracy,handROIbbox2,3,3,1.2586517177570418e-06,2.4043475121256556e-06,2.4043475121256556e-06,False,0.6563876651982402,0.00112189648263868,0.001550595857122563,False
R-topk,val,phase_accuracy,handROImask2,3,3,6.777355403307254e-07,3.5984529879465595e-06,3.5984529879465595e-06,False,0.8415094339622674,0.0008232469497852546,0.0018969588788233021,False
R-topk,val,phase_accuracy,bboxROI_handROIbbox2,3,3,8.713742661394787e-07,1.2747882782411345e-06,1.2747882782411345e-06,False,0.5939849624060237,0.0009334742985960988,0.0011290652232006503,False
R-topk,val,phase_macro_f1,base,3,3,7.26876813789051e-06,1.4935094010606047e-05,1.4935094010606047e-05,False,0.672634963715865,0.002696065306681296,0.003864594934867825,False
R-topk,val,phase_macro_f1,bboxROI,3,3,2.452973068390355e-06,4.078501815168169e-06,4.078501815168169e-06,False,0.6244381074533185,0.0015661970081667104,0.002019530097613841,False
R-topk,val,phase_macro_f1,maskROI,3,3,3.0521168158760896e-06,3.2480458465759643e-06,3.2480458465759643e-06,False,0.5155495215915281,0.0017470308571619706,0.0018022335715927513,False
R-topk,val,phase_macro_f1,randROI,3,3,1.245303078663211e-06,3.2053055438213504e-06,3.2053055438213504e-06,False,0.720194880230107,0.0011159314847530787,0.0017903367124151117,False
R-topk,val,phase_macro_f1,shuffleROI,3,3,1.1254131546826986e-05,1.0303984911501008e-06,1.0303984911501008e-06,False,0.08387772979224024,0.0033547178043506114,0.0010150854600229978,True
R-topk,val,phase_macro_f1,handROIbbox2,3,3,9.298655360592336e-06,0.0,-1.1249248407277075e-09,True,0.0,0.0030493696661100856,0.0,True
R-topk,val,phase_macro_f1,handROImask2,3,3,1.094630598375556e-05,8.094850634444053e-06,8.094850634444053e-06,False,0.4251238932989482,0.0033085202105708165,0.0028451450990141175,True
R-topk,val,phase_macro_f1,bboxROI_handROIbbox2,3,3,1.241344660752587e-06,2.434557738709848e-06,2.434557738709848e-06,False,0.6623020619551484,0.0011141564794734118,0.0015603069373395248,False
R-topk,test,phase_accuracy,base,3,3,6.48089228631802e-06,9.462143459936172e-05,9.462143459936172e-05,False,0.9358976940892151,0.0025457596678237363,0.009727354964190508,False
R-topk,test,phase_accuracy,bboxROI,3,3,3.6466472148273834e-06,3.9626492515337856e-05,3.9626492515337856e-05,False,0.9157295440643669,0.001909619651875049,0.006294957705603578,False
R-topk,test,phase_accuracy,maskROI,3,3,2.3675719605813952e-05,5.212404729179101e-07,5.212404729179101e-07,False,0.021541568495459854,0.004865770196568468,0.0007219698559620824,True
R-topk,test,phase_accuracy,randROI,3,3,2.5929677432063995e-05,8.981624898965009e-05,8.981624898965009e-05,False,0.7759776241490296,0.005092119149437098,0.009477143503696148,False
R-topk,test,phase_accuracy,shuffleROI,3,3,2.5489880783039395e-05,0.0,-2.484036628748506e-07,True,0.0,0.00504875041797863,0.0,True
R-topk,test,phase_accuracy,handROIbbox2,3,3,3.454847009558415e-05,0.0,-5.637948709021273e-06,True,0.0,0.005877794662591077,0.0,True
R-topk,test,phase_accuracy,handROImask2,3,3,4.537235429101809e-05,4.6932003518575695e-06,4.6932003518575695e-06,False,0.09374110374557515,0.006735900406851195,0.0021663795493536146,True
