split,contrast,system_a,system_b,metric,is_prereg_phase,mean_a,mean_b,sd_a,sd_b,diff,se,df,t_crit,welch_exceeds,boot_ci_lo,boot_ci_hi,boot_crosses_zero,both_criteria_met
val,4-2,randROI,bboxROI,phase_macro_f1,False,0.8319710243266906,0.8328972245846304,0.0031084250690102872,0.0037807849414899825,-0.0009262002579398798,0.002825871026984366,3.855851264509417,2.817863091318466,False,-0.0032043300536385155,-0.0009262002579398798,False,False
test,2-1,bboxROI,base,anesthesia,False,0.9773049739806409,0.9789133952306116,0.02519760601205602,0.012816924327374508,-0.0016084212499707373,0.01632169208908241,2.9699923100870875,3.200714197279098,False,-0.007170478627472221,0.014814814814814725,True,False
test,2-1,bboxROI,base,closure,True,0.9431672912996875,0.9041468955555886,0.0012668581651043484,0.002105615022656745,0.03902039574409888,0.0014187487719970393,3.280209300648363,3.0340440383432794,True,0.005904618405337847,0.0643901516824964,False,True
test,2-1,bboxROI,base,design,False,0.9828560296123126,0.9594676346037508,0.01724220478992828,0.010478226301082128,0.023388395008561713,0.011648846186561639,3.299938640241018,3.0249026567353634,False,0.0,0.05792270531400956,True,False
test,2-1,bboxROI,base,disinfection,False,None,None,None,None,0.0,0.0,None,None,False,0.0,0.0,True,False
test,2-1,bboxROI,base,dissection,False,0.8292539604094711,0.6813074457913526,0.013190974733142192,0.017585836961636757,0.14794651461811847,0.012692037872247115,3.709413715631684,2.8643626799812627,True,0.030436856056366812,0.2358704048574639,False,True
test,2-1,bboxROI,base,dressing,False,None,None,None,None,0.0,0.0,None,None,False,0.0,0.0,True,False
test,2-1,bboxROI,base,hemostasis,True,0.7668318735681998,0.7031447993863512,0.06010162961051424,0.025553510643076177,0.0636870741818486,0.037705825314864584,2.7002025050342127,3.3919836388138447,False,0.0,0.0906149165035608,True,False
test,2-1,bboxROI,base,incision,True,0.9692863595302619,0.925447493251566,0.00594843308194468,0.00968812214990257,0.04383886627869593,0.006563626206140594,3.3203060528770387,3.01562270572899,True,0.017954047460610023,0.11007685125332178,False,True
test,2-1,bboxROI,base,irrigation,False,0.543778153153153,0.40025079008129855,0.11277182930993089,0.12259769810811427,0.14352736307185449,0.09617290170541201,3.9724042348391895,2.7840683166068785,False,0.0,0.16436633404260664,True,False
test,2-1,bboxROI,base,phase_accuracy,False,0.8925361469323955,0.8318093005080108,0.004401065486612282,0.007934999700818755,0.06072684642438464,0.005238752958145782,3.1241213478398993,3.112099393074987,True,0.014421768707483018,0.0963130173062452,False,True
test,2-1,bboxROI,base,phase_macro_f1,False,0.7515598301942159,0.6940848067375649,0.008856535995462286,0.02202879270575434,0.05747502345665101,0.013707734287766338,2.63009376989947,3.4512712202149607,True,0.019369585811701007,0.08520997985315071,False,True
test,3-2,maskROI,bboxROI,anesthesia,False,0.9567193278983672,0.9773049739806409,0.007877200558881409,0.02519760601205602,-0.020585646082273645,0.015242152487795627,2.3872192651664887,3.6984258973495128,False,-0.07721174108075946,0.015576323987538943,True,False
test,3-2,maskROI,bboxROI,closure,True,0.9431198926046475,0.9431672912996875,0.0024573703369277743,0.0012668581651043484,-4.7398695040001826e-05,0.0015962036820013582,2.99296213770574,3.1866840304634056,False,-0.013090577986478391,0.025598744819478214,True,False
test,3-2,maskROI,bboxROI,design,False,0.9351432880844645,0.9828560296123126,0.05974450172047772,0.01724220478992828,-0.0477127415278481,0.03590124933687773,2.3308623499430157,3.767248389472555,False,-0.09108370229812346,0.0,True,False
test,3-2,maskROI,bboxROI,disinfection,False,None,None,None,None,0.0,0.0,None,None,False,0.0,0.0,True,False
test,3-2,maskROI,bboxROI,dissection,False,0.8433495594037831,0.8292539604094711,0.005378098801227782,0.013190974733142192,0.014095598994312009,0.008224470826465846,2.6470327686856425,3.436521055479439,False,-0.030405077668518743,0.05836689323153854,True,False
test,3-2,maskROI,bboxROI,dressing,False,None,None,None,None,0.0,0.0,None,None,False,0.0,0.0,True,False
test,3-2,maskROI,bboxROI,hemostasis,True,0.7837804924983299,0.7668318735681998,0.01507932856081393,0.06010162961051424,0.01694861893013011,0.035775187079335774,2.250803711109662,3.874344463830164,False,0.0,0.023910313992234533,True,False
test,3-2,maskROI,bboxROI,incision,True,0.9384723190513752,0.9692863595302619,0.006139650772188497,0.00594843308194468,-0.030814040478886695,0.004935556967381652,3.996002305445508,2.777540886760205,True,-0.057228155149326554,-0.0034342280601561415,False,True
test,3-2,maskROI,bboxROI,irrigation,False,0.47098765432098766,0.543778153153153,0.08059988846787185,0.11277182930993089,-0.07279049883216537,0.08002880212136455,3.6204450824788643,2.8950934757322084,False,-0.0999054456501266,0.0,True,False
test,3-2,maskROI,bboxROI,phase_accuracy,False,0.8933177022274327,0.8925361469323955,0.0030480656506447833,0.004401065486612282,0.0007815552950372062,0.0030908511032880248,3.5597752452524927,2.917243264376126,False,-0.02181959867523864,0.03411086029596189,True,False
test,3-2,maskROI,bboxROI,phase_macro_f1,False,0.7339465667327443,0.7515598301942159,0.014943698644097581,0.008856535995462286,-0.01761326346147163,0.010029163458044462,3.2506830333448207,3.0480125662733006,False,-0.05240435741067895,0.002530801082377021,True,False
test,4-2,randROI,bboxROI,anesthesia,False,0.9553396683831465,0.9773049739806409,0.009350853428265698,0.02519760601205602,-0.021965305597494322,0.015517278633571783,2.540610382214285,3.534103701907591,False,-0.0806540818724979,0.015576323987538943,True,False
test,4-2,randROI,bboxROI,closure,True,0.9369449541103965,0.9431672912996875,0.023362789442731152,0.0012668581651043484,-0.006222337189290994,0.013508329037497343,2.011761503343063,4.278636671915325,False,-0.01093371521836406,0.0005027059467671569,True,False
test,4-2,randROI,bboxROI,design,False,0.9678672316384181,0.9828560296123126,0.02629879404147656,0.01724220478992828,-0.014988797973894408,0.018155992528215294,3.45124398919695,2.9595231339810715,False,-0.029999999999999916,0.0,True,False
test,4-2,randROI,bboxROI,disinfection,False,None,None,None,None,0.0,0.0,None,None,False,0.0,0.0,True,False
test,4-2,randROI,bboxROI,dissection,False,0.8086274011376551,0.8292539604094711,0.07322505854577063,0.013190974733142192,-0.020626559271816003,0.042956997929875305,2.1296693098104322,4.0611013946315575,False,-0.04265785671037414,-0.00206236417418193,False,False
test,4-2,randROI,bboxROI,dressing,False,None,None,None,None,0.0,0.0,None,None,False,0.0,0.0,True,False
test,4-2,randROI,bboxROI,hemostasis,True,0.7877064533256579,0.7668318735681998,0.048397575128498876,0.06010162961051424,0.0208745797574581,0.04455158493311671,3.825989900949402,2.826961860690091,False,-0.001632905285600228,0.03850364007788987,True,False
test,4-2,randROI,bboxROI,incision,True,0.9310748809920767,0.9692863595302619,0.014368347769846673,0.00594843308194468,-0.038211478538185184,0.008978367961673802,2.6660053641268364,3.420327983320556,True,-0.06206847592724729,-0.0029214075473356083,False,True
test,4-2,randROI,bboxROI,irrigation,False,0.39836730476116666,0.543778153153153,0.12443258376312889,0.11277182930993089,-0.14541084839198637,0.09695523604199394,3.961886982793184,2.787010457791402,False,-0.19353440555815626,0.0,True,False
test,4-2,randROI,bboxROI,phase_accuracy,False,0.8825322391559203,0.8925361469323955,0.0297356883704341,0.004401065486612282,-0.010003907776475196,0.017354927641076656,2.0875812837328223,4.134216506450343,False,-0.01831287745957544,-0.00027210884353745524,False,False
test,4-2,randROI,bboxROI,phase_macro_f1,False,0.7232409867935646,0.7515598301942159,0.021115949045603898,0.008856535995462286,-0.028318843400651272,0.01322020592294814,2.682543582943166,3.406487432879376,False,-0.05960427878049723,-0.0007633069315715613,False,False
