experiment_id,metric,dedup_rule,delta,pstd,ratio_pstd,same_sign,verdict_pstd
transfer/b2a_mask_dim_12/b2a_mask_dim_12@val~relation_detr_seed42,accuracy,first,0.038283828382838316,0.0021557665503042444,17.758800635177913,True,significant
transfer/b2a_mask_dim_12/b2a_mask_dim_12@val~relation_detr_seed42,accuracy,latest,0.039163916391639186,0.0046465813161590775,8.428544283824687,True,significant
transfer/b2a_mask_dim_12/b2a_mask_dim_12@val~relation_detr_seed42,accuracy,mean,0.04009429514380014,0.002749195360697807,14.58401091351446,True,significant
transfer/b2a_mask_dim_13/b2a_mask_dim_13@val~relation_detr_seed42,accuracy,first,0.038283828382838316,0.00234919213466036,16.29659312152145,True,significant
transfer/b2a_mask_dim_13/b2a_mask_dim_13@val~relation_detr_seed42,accuracy,latest,0.039163916391639186,0.003972600678826868,9.85850820606629,True,significant
transfer/b2a_mask_dim_13/b2a_mask_dim_13@val~relation_detr_seed42,accuracy,mean,0.04009429514380014,0.0028339207603174095,14.147994434152574,True,significant
transfer/b2a_mask_dim_14/b2a_mask_dim_14@val~relation_detr_seed42,accuracy,first,0.037843784378437904,0.003064551876168143,12.348880328225036,True,significant
transfer/b2a_mask_dim_14/b2a_mask_dim_14@val~relation_detr_seed42,accuracy,latest,0.03872387238723877,0.005762728648496777,6.719711225226611,True,significant
transfer/b2a_mask_dim_14/b2a_mask_dim_14@val~relation_detr_seed42,accuracy,mean,0.03965425113939972,0.003685137650608906,10.760588856931175,True,significant
transfer/b2a_oracle_mask_00/b2a_oracle_mask_00@val~relation_detr_seed42,accuracy,first,0.047964796479647985,0.0054519303381139255,8.797764003756736,True,significant
transfer/b2a_oracle_mask_00/b2a_oracle_mask_00@val~relation_detr_seed42,accuracy,latest,0.04884488448844885,0.008470132697434659,5.766720101474025,True,significant
transfer/b2a_oracle_mask_00/b2a_oracle_mask_00@val~relation_detr_seed42,accuracy,mean,0.0497752632406098,0.006060849657897955,8.212588341594508,True,significant
transfer/b2a_oracle_mask_01/b2a_oracle_mask_01@val~relation_detr_seed42,accuracy,first,0.059625962596259664,0.004487585930554698,13.286868155612,True,significant
transfer/b2a_oracle_mask_01/b2a_oracle_mask_01@val~relation_detr_seed42,accuracy,latest,0.060506050605060535,0.007816202274293362,7.741106036119145,True,significant
transfer/b2a_oracle_mask_01/b2a_oracle_mask_01@val~relation_detr_seed42,accuracy,mean,0.06143642935722149,0.005063437526700487,12.13334400459279,True,significant
transfer/b2a_oracle_mask_02/b2a_oracle_mask_02@val~relation_detr_seed42,accuracy,first,0.06028602860286029,0.004890233392935694,12.3278428162443,True,significant
transfer/b2a_oracle_mask_02/b2a_oracle_mask_02@val~relation_detr_seed42,accuracy,latest,0.06116611661166116,0.007551596172378675,8.09975999979809,True,significant
transfer/b2a_oracle_mask_02/b2a_oracle_mask_02@val~relation_detr_seed42,accuracy,mean,0.06209649536382211,0.00551304030813848,11.263566361405665,True,significant
transfer/b2a_oracle_mask_03/b2a_oracle_mask_03@val~relation_detr_seed42,accuracy,first,0.06094609460946095,0.00346490995556075,17.5895175895264,True,significant
transfer/b2a_oracle_mask_03/b2a_oracle_mask_03@val~relation_detr_seed42,accuracy,latest,0.06182618261826182,0.0067385667023602365,9.174975235699115,True,significant
transfer/b2a_oracle_mask_03/b2a_oracle_mask_03@val~relation_detr_seed42,accuracy,mean,0.06275656137042278,0.004059128180845261,15.460601039052316,True,significant
transfer/b2a_oracle_mask_04/b2a_oracle_mask_04@val~relation_detr_seed42,accuracy,first,0.06006600660066008,0.0035340766565916263,16.996237613756122,True,significant
transfer/b2a_oracle_mask_04/b2a_oracle_mask_04@val~relation_detr_seed42,accuracy,latest,0.06094609460946095,0.007176900519383986,8.491979851866768,True,significant
transfer/b2a_oracle_mask_04/b2a_oracle_mask_04@val~relation_detr_seed42,accuracy,mean,0.06187647336162191,0.003981027362805911,15.54284050889067,True,significant
transfer/b2a_oracle_mask_05/b2a_oracle_mask_05@val~relation_detr_seed42,accuracy,first,0.05918591859185921,0.005451930338113902,10.855956500048496,True,significant
transfer/b2a_oracle_mask_05/b2a_oracle_mask_05@val~relation_detr_seed42,accuracy,latest,0.06006600660066008,0.00829690104948948,7.239571285999129,True,significant
transfer/b2a_oracle_mask_05/b2a_oracle_mask_05@val~relation_detr_seed42,accuracy,mean,0.060996385352821036,0.006070426822812933,10.048121348501216,True,significant
transfer/b2a_oracle_mask_06/b2a_oracle_mask_06@val~relation_detr_seed42,accuracy,first,0.054125412541254136,0.0024697408493556897,21.915421836819224,True,significant
transfer/b2a_oracle_mask_06/b2a_oracle_mask_06@val~relation_detr_seed42,accuracy,latest,0.05500550055005501,0.005178702880501562,10.621482216552204,True,significant
transfer/b2a_oracle_mask_06/b2a_oracle_mask_06@val~relation_detr_seed42,accuracy,mean,0.05593587930221596,0.003086242267223496,18.124267137504425,True,significant
transfer/b2a_oracle_mask_07/b2a_oracle_mask_07@val~relation_detr_seed42,accuracy,first,0.057865786578657895,0.004186204090305937,13.822973111286826,True,significant
transfer/b2a_oracle_mask_07/b2a_oracle_mask_07@val~relation_detr_seed42,accuracy,latest,0.05874587458745876,0.006731378895832116,8.727168013649118,True,significant
transfer/b2a_oracle_mask_07/b2a_oracle_mask_07@val~relation_detr_seed42,accuracy,mean,0.05967625333961971,0.0048070016448641855,12.414444127219719,True,significant
transfer/b2a_oracle_mask_08/b2a_oracle_mask_08@val~relation_detr_seed42,accuracy,first,0.06006600660066008,0.004411427427010648,13.616002437869211,True,significant
transfer/b2a_oracle_mask_08/b2a_oracle_mask_08@val~relation_detr_seed42,accuracy,latest,0.06094609460946095,0.0068242298874679605,8.930838441035313,True,significant
transfer/b2a_oracle_mask_08/b2a_oracle_mask_08@val~relation_detr_seed42,accuracy,mean,0.06187647336162191,0.00502917648804001,12.303500087692615,True,significant
transfer/b2a_oracle_mask_09/b2a_oracle_mask_09@val~relation_detr_seed42,accuracy,first,0.04840484048404844,0.004583645028822782,10.56033793622109,True,significant
transfer/b2a_oracle_mask_09/b2a_oracle_mask_09@val~relation_detr_seed42,accuracy,latest,0.0492849284928493,0.006384430419602614,7.719549788110455,True,significant
transfer/b2a_oracle_mask_09/b2a_oracle_mask_09@val~relation_detr_seed42,accuracy,mean,0.050215307245010256,0.005166463733415776,9.719473480521408,True,significant
transfer/b2a_oracle_mask_10/b2a_oracle_mask_10@val~relation_detr_seed42,accuracy,first,0.05918591859185921,0.005425226845297248,10.909390571043748,True,significant
transfer/b2a_oracle_mask_10/b2a_oracle_mask_10@val~relation_detr_seed42,accuracy,latest,0.06006600660066008,0.007487216513607782,8.022474906594727,True,significant
transfer/b2a_oracle_mask_10/b2a_oracle_mask_10@val~relation_detr_seed42,accuracy,mean,0.060996385352821036,0.006032714784549374,10.110934716993635,True,significant
transfer/b2a_oracle_mask_11/b2a_oracle_mask_11@val~relation_detr_seed42,accuracy,first,0.05984598459845988,0.004186204090305937,14.296002609391698,True,significant
transfer/b2a_oracle_mask_11/b2a_oracle_mask_11@val~relation_detr_seed42,accuracy,latest,0.06072607260726074,0.006731378895832116,9.021342216356391,True,significant
transfer/b2a_oracle_mask_11/b2a_oracle_mask_11@val~relation_detr_seed42,accuracy,mean,0.061656451359421695,0.0048070016448641855,12.82638449381344,True,significant
transfer/b2a_oracle_mask_12/b2a_oracle_mask_12@val~relation_detr_seed42,accuracy,first,0.05918591859185921,0.004708676470634224,12.569544533580434,True,significant
transfer/b2a_oracle_mask_12/b2a_oracle_mask_12@val~relation_detr_seed42,accuracy,latest,0.06006600660066008,0.007129527721020749,8.424962907930219,True,significant
