experiment_id,metric,sigma_source,arm,control_of,delta_method,delta_dedup_rule,n_seeds,delta,pstd,sstd,ratio_pstd,ratio_sstd,same_sign,verdict_pstd,verdict_sstd,agree,reason
transfer/b2a_base_oracle_noise_p020/b2a_base_oracle_noise_p020@val~relation_detr_seed42,seg_f1_50,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.06644467206123071,0.06312983699330439,0.07731794408933657,1.0525082152244096,0.8593693591290736,False,not_significant,not_significant,True,全 seed 同符号ではない
transfer/b2a_base_oracle_noise_p030/b2a_base_oracle_noise_p030@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.012371522866572393,0.0034155500854093105,0.004183177450086157,3.622117245307449,2.957446346512885,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_base_oracle_noise_p030/b2a_base_oracle_noise_p030@val~relation_detr_seed42,edit_score,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,1.2075810089102081,2.067765095511603,2.532484695970375,0.5840029950846184,0.4768364487381425,False,not_significant,not_significant,True,|Δ| <= σ
transfer/b2a_base_oracle_noise_p030/b2a_base_oracle_noise_p030@val~relation_detr_seed42,jaccard,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.04315542310683144,0.0029663049929024342,0.0036329668270405203,14.548545483384444,11.87883764465491,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_base_oracle_noise_p030/b2a_base_oracle_noise_p030@val~relation_detr_seed42,macro_f1,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.04276542512603657,0.0055376724727419155,0.006782235960437041,7.722635337597306,6.305505348899835,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_base_oracle_noise_p030/b2a_base_oracle_noise_p030@val~relation_detr_seed42,seg_f1_10,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.008808222622497586,0.03209928129606266,0.0393134301427087,0.27440560245746104,0.22405123619392978,False,not_significant,not_significant,True,|Δ| <= σ
transfer/b2a_base_oracle_noise_p030/b2a_base_oracle_noise_p030@val~relation_detr_seed42,seg_f1_25,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.02805411338892518,0.03479741473400619,0.04261795523316019,0.8062125765196275,0.6582698122292087,False,not_significant,not_significant,True,|Δ| <= σ
transfer/b2a_base_oracle_noise_p030/b2a_base_oracle_noise_p030@val~relation_detr_seed42,seg_f1_50,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.021742413812112987,0.034832522025061784,0.042660952707828985,0.624198666880034,0.5096560773271924,False,not_significant,not_significant,True,|Δ| <= σ
transfer/b2a_base_oracle_top3noise_p010/b2a_base_oracle_top3noise_p010@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.04471475719000473,0.005928877934232792,0.007261362843058371,7.541858288534811,6.157901506430105,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_base_oracle_top3noise_p010/b2a_base_oracle_top3noise_p010@val~relation_detr_seed42,edit_score,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,6.702492983361822,0.9353162494405398,1.1455237796315174,7.166017897551682,5.85102911221784,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_base_oracle_top3noise_p010/b2a_base_oracle_top3noise_p010@val~relation_detr_seed42,jaccard,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.12171502850473266,0.011211946449712518,0.013731773912602541,10.855833913464108,8.8637512734627,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_base_oracle_top3noise_p010/b2a_base_oracle_top3noise_p010@val~relation_detr_seed42,macro_f1,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.1025233476377327,0.010167249149186843,0.012452286251627084,10.083685973794822,8.23329512075234,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_base_oracle_top3noise_p010/b2a_base_oracle_top3noise_p010@val~relation_detr_seed42,seg_f1_10,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.09623425508936989,0.013561333619606625,0.016609173799843547,7.09622355652669,5.794042271402831,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_base_oracle_top3noise_p010/b2a_base_oracle_top3noise_p010@val~relation_detr_seed42,seg_f1_25,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.10704636298592435,0.01129655949710173,0.013835403308445293,9.476014623159235,7.7371335406306505,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_base_oracle_top3noise_p010/b2a_base_oracle_top3noise_p010@val~relation_detr_seed42,seg_f1_50,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.15983667216811495,0.01613353259176859,0.019759461299197634,9.9071093859298,8.089120940488666,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_base_oracle_top3noise_p020/b2a_base_oracle_top3noise_p020@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.03635392110639638,0.0049137170381046,0.006018049741888079,7.39845636703969,6.040814327830871,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_base_oracle_top3noise_p020/b2a_base_oracle_top3noise_p020@val~relation_detr_seed42,edit_score,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.14607628178382961,2.905734168654661,3.558783020687099,0.05027172938241013,0.04104669515806177,False,not_significant,not_significant,True,|Δ| <= σ
transfer/b2a_base_oracle_top3noise_p020/b2a_base_oracle_top3noise_p020@val~relation_detr_seed42,jaccard,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.0995919555133405,0.007084421809690231,0.008676609278192832,14.057880542504739,11.478211398045524,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
