ledger_key,group,step,seed,split,host,excluded,per_class_kind,per_class_metric,class_name,value,is_nan
_smoke_prior__s0_006_varifocanet_bbox_seed456,_smoke_prior,s0,456,val,,True,tool,AP,Electric Cautery,0.04139177831595647,False
_smoke_prior__s0_006_varifocanet_bbox_seed456,_smoke_prior,s0,456,val,,True,tool,AP,Forceps,0.0006600660066006602,False
_smoke_prior__s0_006_varifocanet_bbox_seed456,_smoke_prior,s0,456,val,,True,tool,AP,Gauze,0.011120744658954362,False
_smoke_prior__s0_006_varifocanet_bbox_seed456,_smoke_prior,s0,456,val,,True,tool,AP,Hook,0.0010135610717469852,False
_smoke_prior__s0_006_varifocanet_bbox_seed456,_smoke_prior,s0,456,val,,True,tool,AP,Mouth Gag,0.0,False
_smoke_prior__s0_006_varifocanet_bbox_seed456,_smoke_prior,s0,456,val,,True,tool,AP,Needle Holders,0.0,False
_smoke_prior__s0_006_varifocanet_bbox_seed456,_smoke_prior,s0,456,val,,True,tool,AP,Raspatory,0.0,False
_smoke_prior__s0_006_varifocanet_bbox_seed456,_smoke_prior,s0,456,val,,True,tool,AP,Retractor,0.0003177151692003177,False
_smoke_prior__s0_006_varifocanet_bbox_seed456,_smoke_prior,s0,456,val,,True,tool,AP,Scalpel,0.014195847173560722,False
_smoke_prior__s0_006_varifocanet_bbox_seed456,_smoke_prior,s0,456,val,,True,tool,AP,Scissors,0.0312604339670654,False
_smoke_prior__s0_006_varifocanet_bbox_seed456,_smoke_prior,s0,456,val,,True,tool,AP,Skewer,0.0,False
_smoke_prior__s0_006_varifocanet_bbox_seed456,_smoke_prior,s0,456,val,,True,tool,AP,Suction Cannula,0.0029227977338523205,False
_smoke_prior__s0_006_varifocanet_bbox_seed456,_smoke_prior,s0,456,val,,True,tool,AP,Syringe,0.01973542511183645,False
_smoke_prior__s0_006_varifocanet_bbox_seed456,_smoke_prior,s0,456,val,,True,tool,AP,Tweezers,0.08770138946563796,False
baselines___legacy_score_thr_0__s0_007_codetr_bbox_seed42,baselines,s0,42,val,,False,tool,AP,Bipolar Forceps,0.841,False
baselines___legacy_score_thr_0__s0_007_codetr_bbox_seed42,baselines,s0,42,val,,False,tool,AP,Electric Cautery,0.896,False
baselines___legacy_score_thr_0__s0_007_codetr_bbox_seed42,baselines,s0,42,val,,False,tool,AP,Forceps,0.326,False
baselines___legacy_score_thr_0__s0_007_codetr_bbox_seed42,baselines,s0,42,val,,False,tool,AP,Gauze,0.275,False
baselines___legacy_score_thr_0__s0_007_codetr_bbox_seed42,baselines,s0,42,val,,False,tool,AP,Hook,0.582,False
baselines___legacy_score_thr_0__s0_007_codetr_bbox_seed42,baselines,s0,42,val,,False,tool,AP,Mouth Gag,0.787,False
baselines___legacy_score_thr_0__s0_007_codetr_bbox_seed42,baselines,s0,42,val,,False,tool,AP,Needle Holders,0.817,False
baselines___legacy_score_thr_0__s0_007_codetr_bbox_seed42,baselines,s0,42,val,,False,tool,AP,Raspatory,0.604,False
baselines___legacy_score_thr_0__s0_007_codetr_bbox_seed42,baselines,s0,42,val,,False,tool,AP,Retractor,,True
baselines___legacy_score_thr_0__s0_007_codetr_bbox_seed42,baselines,s0,42,val,,False,tool,AP,Scalpel,0.899,False
baselines___legacy_score_thr_0__s0_007_codetr_bbox_seed42,baselines,s0,42,val,,False,tool,AP,Scissors,0.704,False
baselines___legacy_score_thr_0__s0_007_codetr_bbox_seed42,baselines,s0,42,val,,False,tool,AP,Skewer,0.911,False
baselines___legacy_score_thr_0__s0_007_codetr_bbox_seed42,baselines,s0,42,val,,False,tool,AP,Suction Cannula,0.807,False
baselines___legacy_score_thr_0__s0_007_codetr_bbox_seed42,baselines,s0,42,val,,False,tool,AP,Syringe,0.592,False
baselines___legacy_score_thr_0__s0_007_codetr_bbox_seed42,baselines,s0,42,val,,False,tool,AP,Tweezers,0.766,False
baselines___legacy_score_thr_0__s0_008_codetr_bbox_seed123,baselines,s0,123,val,,False,tool,AP,Bipolar Forceps,0.73,False
baselines___legacy_score_thr_0__s0_008_codetr_bbox_seed123,baselines,s0,123,val,,False,tool,AP,Electric Cautery,0.889,False
baselines___legacy_score_thr_0__s0_008_codetr_bbox_seed123,baselines,s0,123,val,,False,tool,AP,Forceps,0.341,False
baselines___legacy_score_thr_0__s0_008_codetr_bbox_seed123,baselines,s0,123,val,,False,tool,AP,Gauze,0.272,False
baselines___legacy_score_thr_0__s0_008_codetr_bbox_seed123,baselines,s0,123,val,,False,tool,AP,Hook,0.581,False
baselines___legacy_score_thr_0__s0_008_codetr_bbox_seed123,baselines,s0,123,val,,False,tool,AP,Mouth Gag,0.789,False
baselines___legacy_score_thr_0__s0_008_codetr_bbox_seed123,baselines,s0,123,val,,False,tool,AP,Needle Holders,0.826,False
baselines___legacy_score_thr_0__s0_008_codetr_bbox_seed123,baselines,s0,123,val,,False,tool,AP,Raspatory,0.63,False
baselines___legacy_score_thr_0__s0_008_codetr_bbox_seed123,baselines,s0,123,val,,False,tool,AP,Retractor,,True
baselines___legacy_score_thr_0__s0_008_codetr_bbox_seed123,baselines,s0,123,val,,False,tool,AP,Scalpel,0.906,False
baselines___legacy_score_thr_0__s0_008_codetr_bbox_seed123,baselines,s0,123,val,,False,tool,AP,Scissors,0.697,False
baselines___legacy_score_thr_0__s0_008_codetr_bbox_seed123,baselines,s0,123,val,,False,tool,AP,Skewer,0.905,False
baselines___legacy_score_thr_0__s0_008_codetr_bbox_seed123,baselines,s0,123,val,,False,tool,AP,Suction Cannula,0.791,False
baselines___legacy_score_thr_0__s0_008_codetr_bbox_seed123,baselines,s0,123,val,,False,tool,AP,Syringe,0.563,False
baselines___legacy_score_thr_0__s0_008_codetr_bbox_seed123,baselines,s0,123,val,,False,tool,AP,Tweezers,0.769,False
baselines___legacy_score_thr_0__s0_009_codetr_bbox_seed456,baselines,s0,456,val,,False,tool,AP,Bipolar Forceps,0.846,False
baselines___legacy_score_thr_0__s0_009_codetr_bbox_seed456,baselines,s0,456,val,,False,tool,AP,Electric Cautery,0.901,False
baselines___legacy_score_thr_0__s0_009_codetr_bbox_seed456,baselines,s0,456,val,,False,tool,AP,Forceps,0.298,False
baselines___legacy_score_thr_0__s0_009_codetr_bbox_seed456,baselines,s0,456,val,,False,tool,AP,Gauze,0.27,False
baselines___legacy_score_thr_0__s0_009_codetr_bbox_seed456,baselines,s0,456,val,,False,tool,AP,Hook,0.586,False
baselines___legacy_score_thr_0__s0_009_codetr_bbox_seed456,baselines,s0,456,val,,False,tool,AP,Mouth Gag,0.797,False
baselines___legacy_score_thr_0__s0_009_codetr_bbox_seed456,baselines,s0,456,val,,False,tool,AP,Needle Holders,0.834,False
baselines___legacy_score_thr_0__s0_009_codetr_bbox_seed456,baselines,s0,456,val,,False,tool,AP,Raspatory,0.603,False
baselines___legacy_score_thr_0__s0_009_codetr_bbox_seed456,baselines,s0,456,val,,False,tool,AP,Retractor,,True
baselines___legacy_score_thr_0__s0_009_codetr_bbox_seed456,baselines,s0,456,val,,False,tool,AP,Scalpel,0.903,False
