experiment_id,group,step,n_runs,n_seeds,sigma_source,sigma_interpretation,determinism_class,n_runs_det,n_runs_nondet,entrypoints,n_verdicts,n_significant
transfer/b2a_oracle_mask_06/b2a_oracle_mask_06@val~relation_detr_seed42,transfer,b2a_oracle_mask_06,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,7
transfer/b2a_oracle_mask_07/b2a_oracle_mask_07@val~relation_detr_seed42,transfer,b2a_oracle_mask_07,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,7
transfer/b2a_oracle_mask_08/b2a_oracle_mask_08@val~relation_detr_seed42,transfer,b2a_oracle_mask_08,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,7
transfer/b2a_oracle_mask_09/b2a_oracle_mask_09@val~relation_detr_seed42,transfer,b2a_oracle_mask_09,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,6
transfer/b2a_oracle_mask_10/b2a_oracle_mask_10@val~relation_detr_seed42,transfer,b2a_oracle_mask_10,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,7
transfer/b2a_oracle_mask_11/b2a_oracle_mask_11@val~relation_detr_seed42,transfer,b2a_oracle_mask_11,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,7
transfer/b2a_oracle_mask_12/b2a_oracle_mask_12@val~relation_detr_seed42,transfer,b2a_oracle_mask_12,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,7
transfer/b2a_oracle_mask_13/b2a_oracle_mask_13@val~relation_detr_seed42,transfer,b2a_oracle_mask_13,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,7
transfer/b2a_oracle_mask_14/b2a_oracle_mask_14@val~relation_detr_seed42,transfer,b2a_oracle_mask_14,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,7
transfer/b2a_oracle_mask_top3_joint/b2a_oracle_mask_top3_joint@val~relation_detr_seed42,transfer,b2a_oracle_mask_top3_joint,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,5
transfer/b2a_regiononly_mask_00/b2a_regiononly_mask_00@val~relation_detr_seed42,transfer,b2a_regiononly_mask_00,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,6
transfer/b2a_regiononly_mask_01/b2a_regiononly_mask_01@val~relation_detr_seed42,transfer,b2a_regiononly_mask_01,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,3
transfer/b2a_regiononly_mask_02/b2a_regiononly_mask_02@val~relation_detr_seed42,transfer,b2a_regiononly_mask_02,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,6
transfer/b2a_regiononly_mask_03/b2a_regiononly_mask_03@val~relation_detr_seed42,transfer,b2a_regiononly_mask_03,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,6
transfer/b2a_regiononly_mask_04/b2a_regiononly_mask_04@val~relation_detr_seed42,transfer,b2a_regiononly_mask_04,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,6
transfer/b2a_regiononly_mask_05/b2a_regiononly_mask_05@val~relation_detr_seed42,transfer,b2a_regiononly_mask_05,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,6
transfer/b2a_regiononly_mask_06/b2a_regiononly_mask_06@val~relation_detr_seed42,transfer,b2a_regiononly_mask_06,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,7
