# AUTO-GENERATED by `make context`. DO NOT EDIT. generated_from=runindex/ generated_from_digest=4fd482eac961
experiment_id,metric,sigma_source,arm,control_of,delta_method,delta_dedup_rule,n_seeds,delta,pstd,sstd,ratio_pstd,ratio_sstd,same_sign,verdict_pstd,verdict_sstd,agree,reason
transfer/b2a_regiononly_mask_02/b2a_regiononly_mask_02@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.049995285242810016,0.004073753931146172,0.004989309234482598,12.272534396485646,10.020482374048445,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_regiononly_mask_03/b2a_regiononly_mask_03@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.05153543925821158,0.003104562497353046,0.0038022969965478067,16.59990394851151,13.553764817688307,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_regiononly_mask_04/b2a_regiononly_mask_04@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.048455131227408486,0.004371183134120533,0.005353584125427535,11.085129526872933,9.05097035783273,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_regiononly_mask_05/b2a_regiononly_mask_05@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.04955524123840956,0.0010403090342463131,0.001274113154355509,47.63511572723342,38.89390912338264,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_regiononly_mask_06/b2a_regiononly_mask_06@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.02887317303158891,0.0021610395297680315,0.0026467220809578878,13.36077967749539,10.909030925203632,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_regiononly_mask_07/b2a_regiononly_mask_07@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.05109539525381113,0.003486093152509446,0.0042695747097292805,14.65692195202253,11.96732666075093,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_regiononly_mask_08/b2a_regiononly_mask_08@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.04845513122740852,0.004896798860466534,0.005997329290592565,9.895266807587854,8.079451515763097,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_regiononly_mask_09/b2a_regiononly_mask_09@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.04207449316360209,0.003415550085409363,0.0041831774500862215,12.31851154615973,10.058022559558134,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_regiononly_mask_10/b2a_regiononly_mask_10@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.04097438315260101,0.0013947466975545591,0.0017082088647203022,29.377652031327496,23.986752439263363,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_regiononly_mask_11/b2a_regiononly_mask_11@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.04295458117240299,0.003132504294202762,0.0038365185689369623,13.71253704325253,11.196239611660479,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
