p,L,n_seeds,n_vids,err_rate_actual,mean_run_len,d_acc,se_acc,eff_acc,neg_acc,d_edit,se_edit,eff_edit,neg_edit,d_mF1,se_mF1,eff_mF1,neg_mF1,d_segF50,se_segF50,eff_segF50,neg_segF50,selectivity,sel_sstd,sel_min,sel_max,denom_eff,sel_per_seed
0.1,64,3,15,0.08678427731352523,60.73207795649941,-0.204527663513142,0.0146931115413463,13.919969431770989,15,-16.945583337416238,5.387563771073644,3.1453146649323633,14,-0.251650309386736,0.02290289991458151,10.987705064655096,15,-0.257555800244301,0.05166229832012809,4.985372478946702,15,0.8285228045118402,0.1447505614089376,0.6682197765539966,0.9231571843043462,13.919969431770989,0.914488|0.668220|0.923157
0.2,1,3,15,0.20028934810304247,1.2503194790662815,-0.07974320420027455,0.020163689199558372,3.954792370139344,13,-29.70054531031089,6.606718765912398,4.495506220660083,14,-0.14572263945119074,0.01780545092889507,8.184158886687273,15,-0.33819653059643845,0.0619167707338417,5.462115135981909,14,3.7245236892811784,0.09136439574691764,3.670622814935187,3.8303921279901183,3.954792370139344,3.670623|3.673711|3.830392
0.2,2,3,15,0.1820258685841377,2.221948003666695,-0.12930349799161472,0.02021502375612465,6.396405938055797,14,-36.61746680339086,6.423580707126467,5.700475867418714,14,-0.2015372597937621,0.01653237973681353,12.190456728076985,15,-0.43712542030604673,0.06063334831785574,7.209323457027672,15,2.8319007120569535,0.24054728136645961,2.590850619863974,3.071609784759908,6.396405938055797,2.590851|3.071610|2.846785
0.2,4,3,15,0.1752657755896727,4.206333412587976,-0.2131421275368879,0.025036970854257573,8.513095644741016,15,-40.27987391968643,6.156858509418642,6.542277016447116,15,-0.30116307601428255,0.02030299776849721,14.833429006310435,15,-0.4858483378426406,0.05944078467416514,8.173652829549637,15,1.889812886132297,0.07215267050786336,1.8102532593871181,1.9434343306212947,8.513095644741016,1.810253|1.924960|1.943434
0.2,8,3,15,0.1725364024385855,8.16347555490779,-0.2933422779935129,0.027208189363778668,10.781396515272327,15,-38.79262973279913,6.174943222241985,6.282265008214017,15,-0.3601687890502187,0.02029501239746589,17.746665140997436,15,-0.4878696687475935,0.06143486585352946,7.941250655788079,15,1.3224356883755093,0.038671769574532645,1.2980529393648805,1.367880509638863,10.781396515272327,1.304164|1.367881|1.298053
0.2,16,3,15,0.1695378347836727,16.021604094515638,-0.34322111799714683,0.019081667546546093,17.986956179795307,15,-34.340292848292336,6.0167118173893765,5.707485066684219,15,-0.4046875590430857,0.022143816343995492,18.275420675299294,15,-0.46090339977758327,0.06002117735108311,7.6790129770632705,15,1.0005297182377282,0.06733702124435269,0.9337599590258685,1.0682102129813995,17.986956179795307,0.933760|1.068210|1.007706
0.2,32,3,15,0.16707045842240503,31.53972340423756,-0.37839622997172845,0.026915192292660338,14.05883435114508,15,-30.12374236708828,5.803919235761217,5.190241480529041,14,-0.42252230521256146,0.026011488816550892,16.24368017503535,15,-0.42663659920259184,0.057201249110236996,7.458518928151151,15,0.7960899179502647,0.047052179202403496,0.7634389126915906,0.8526154157477154,14.05883435114508,0.782001|0.852615|0.763439
0.2,64,3,15,0.162702885563545,61.52873106365913,-0.42005802371871237,0.03348528152430006,12.544557029149624,15,-27.860248911433306,5.63532405172883,4.943859244950823,14,-0.4327030124080963,0.027859730893113804,15.53148571564448,15,-0.43758004435867964,0.06043574650020406,7.24041762861657,15,0.6632476310008457,0.05551849578829893,0.6114363587673997,0.7224104999794194,12.544557029149624,0.611436|0.722410|0.663688
0.4,1,3,15,0.4004678514103921,1.6699414645357118,-0.23588179169474516,0.04141819065439674,5.695125450143371,13,-33.252197743951996,7.370272404566351,4.511664687366257,14,-0.48064791357858055,0.025081960266094196,19.163092058172207,15,-0.47447896023005043,0.08406183383415163,5.644404108125522,14,1.4096975228585553,0.2175715670729278,1.2627797425425529,1.6762071746377953,5.695125450143371,1.676207|1.262780|1.351933
0.4,2,3,15,0.3333261356193273,2.49713598193726,-0.22745885224488585,0.029120158419530216,7.811044465071813,14,-38.55723008559408,6.42521335268924,6.000926034534892,15,-0.375877605205338,0.01788926276300361,21.011352462365423,15,-0.49589898535087035,0.06857572147161237,7.23140748225526,15,1.6951298973443665,0.06173347260872047,1.6364646801551825,1.7594448904765136,7.811044465071813,1.759445|1.636465|1.688470
0.4,4,3,15,0.3077080319290593,4.435811143942017,-0.3424864048680345,0.027334483615536677,12.529463138398864,15,-42.898131821637925,6.15233274082483,6.97266120490854,15,-0.43803991645869106,0.022203686699442362,19.728251546158425,15,-0.5337231317472982,0.06574452620254984,8.118137928364876,15,1.2525499176578194,0.08302153644847396,1.1761974106394937,1.3419739913476205,12.529463138398864,1.176197|1.250942|1.341974
0.4,8,3,15,0.29669984812823447,8.387692523588248,-0.4618546556840578,0.03103894958243255,14.87984167948321,15,-42.86916519633061,6.130088297881593,6.993237799061579,15,-0.516823010384765,0.02304041800682898,22.431147309548948,15,-0.5427287430229968,0.0662309657324097,8.194486325562,15,0.9281960172694728,0.0750331477879607,0.857269334869197,1.0073353829111853,14.87984167948321,0.932066|1.007335|0.857269
0.4,16,3,15,0.2925007017771156,16.249002448596954,-0.5174169802960468,0.03227014826822403,16.033920141778218,15,-38.462052857059525,6.100106727795997,6.305144249657429,15,-0.5613570592904593,0.023799569841804293,23.586857368507033,15,-0.5327668975066621,0.06676013883866742,7.980314402792762,15,0.7433473256918041,0.05318529871101866,0.7031954804659027,0.8047202336962263,16.033920141778218,0.804720|0.703195|0.726470
0.4,32,3,15,0.2879171974980746,31.698872098844117,-0.5500814711894675,0.034267706597730235,16.052474058065584,15,-36.10432767093606,6.124804642280917,5.894772124109835,15,-0.5669238860680984,0.026186371712030657,21.649577585719513,15,-0.5206529248066767,0.06621956315589415,7.862524305407378,15,0.6563450972610646,0.022551694725181527,0.631275955155629,0.6727762816550971,16.052474058065584,0.667324|0.631276|0.672776
