p,L,n_seeds,n_vids,err_rate_actual,mean_run_len,d_acc,se_acc,eff_acc,neg_acc,d_edit,se_edit,eff_edit,neg_edit,d_mF1,se_mF1,eff_mF1,neg_mF1,d_segF50,se_segF50,eff_segF50,neg_segF50,selectivity,sel_sstd,sel_min,sel_max,denom_eff,sel_per_seed
0.05,64,3,15,0.0450922387049873,60.966991354701676,-0.11541326109453207,0.014337029904394694,8.050011882806684,15,-15.856624063285183,4.597475013940051,3.4489853702752384,15,-0.16874848285547103,0.01903812549641422,8.863713125919585,15,-0.19767693816576365,0.04339072480922181,4.555741786635273,15,1.373899663947406,0.1010770419002459,1.2681740713407053,1.4691279392904,8.050011882806684,1.469128|1.387700|1.268174
0.1,1,3,15,0.10030734238805755,1.1117111895731169,-0.10768121344728605,0.011027684634139032,9.764625759602444,15,-47.35324063020753,6.2034047094434195,7.633427585035983,15,-0.18945757589467885,0.018252823616267767,10.379631112296808,15,-0.5047435863668724,0.0622564932249033,8.107485022381075,15,4.397539655641854,0.3473778817803822,4.092575471069401,4.783885576394177,9.764625759602444,4.783886|4.092575|4.378381
0.1,2,3,15,0.0962723039162762,2.1076885487983,-0.14487772011006195,0.012776191833476419,11.339663805802493,15,-46.94302689793998,6.216998658164333,7.550753905390201,15,-0.22533412711327017,0.017174138799484064,13.12054885221025,15,-0.5076849643752381,0.06271382456534536,8.095263969210652,15,3.2401826079453695,0.08920960227763576,3.167124764057085,3.340782499854919,11.339663805802493,3.340782|3.218495|3.167125
0.1,4,3,15,0.09483564020067227,4.097986804296211,-0.17816798673731865,0.0158316069485558,11.253942023464116,15,-43.61811753948539,6.150345504523999,7.091978411196783,15,-0.25098201688710836,0.018919810647267537,13.26556705911621,15,-0.48166716615121236,0.06155601066985937,7.824860008139848,15,2.44814561460997,0.028591735575493656,2.4166679815298715,2.4725228948437246,11.253942023464116,2.416668|2.455208|2.472523
0.1,8,3,15,0.09354437030799018,8.073357824713208,-0.20717639180149125,0.017246401162273252,12.012731807183783,15,-39.19402904665729,6.071556778048346,6.455350823426855,15,-0.2717839382233073,0.017749557767233547,15.312152662475471,15,-0.4460852427960029,0.06118888699068491,7.290298365190279,15,1.8918192708082087,0.023826047637872185,1.8660682191795592,1.9131398388433236,12.012731807183783,1.913140|1.896026|1.866068
0.1,16,3,15,0.09232939618377203,15.919190128167905,-0.2172723684893511,0.016582422191216115,13.102571263952173,15,-33.35947454635673,5.725936133150105,5.826029800301688,15,-0.28236117614168055,0.022970349764267137,12.292419533851588,15,-0.38494720486168926,0.05541718587817542,6.946350644869003,15,1.5353758408534923,0.019552330514350725,1.5177989478766072,1.5565141393283417,13.102571263952173,1.517799|1.532389|1.556514
0.1,32,3,15,0.09033131077569764,31.310522149431556,-0.2117959749877683,0.017259214838291913,12.271472194544456,15,-27.11621110068956,5.283840132820941,5.13191361189286,15,-0.2722821625920789,0.021361998972467204,12.746099414339202,15,-0.3404727532410187,0.05479115030858393,6.214009950940528,15,1.2802986979453024,0.06236943590585073,1.2115299292483617,1.3278260258410386,12.271472194544456,1.211530|1.327826|1.308745
0.1,64,3,15,0.08678427731352523,60.73207795649941,-0.21929091323035932,0.019644346913851213,11.163054398908903,15,-21.022758544895193,4.7370343113108015,4.43795783676262,15,-0.2464924132813733,0.02194346635209273,11.233066340854826,15,-0.2852257391144114,0.049137945001036104,5.804592339146402,15,0.9586698434153238,0.12167114900048645,0.824411650568636,1.0588411888265765,11.163054398908903,0.998139|0.824412|1.058841
0.2,1,3,15,0.20028934810304247,1.2503194790662815,-0.29846046801457754,0.022696147384111066,13.150270086081717,15,-51.4985704648786,6.459855524965368,7.972093224972657,15,-0.3893856502531079,0.020444713525887087,19.045786567763248,15,-0.5611950511751971,0.06745410400136495,8.31965763215595,15,1.7254737556185593,0.09657277058973979,1.6584308613988255,1.839122993848769,13.150270086081717,1.839123|1.689687|1.658431
0.2,2,3,15,0.1820258685841377,2.221948003666695,-0.3052041673860275,0.023991410019332478,12.721393496259347,15,-50.23716762422997,6.39908597379303,7.850678648477684,15,-0.3925938080285767,0.022079321802058814,17.781062821955373,15,-0.5526812158671018,0.0665766101794367,8.301432205357411,15,1.6460184031723633,0.01605151693585555,1.632870387988762,1.6639843824559495,12.721393496259347,1.663984|1.641580|1.632870
